config;en;Settings;es;Configuraciones;pt;Configurações
credits;en;Credits;es;Creditos;pt;Créditos
close;en;Close;es;Cerrar;pt;Fechar
changeVoice;en;Change voice;es;Cambiar voice;pt;Mudar voz
tutorial;en; Swipe left or right to change the dice size, click to roll;es;traduzir;pt;Arraste horizontalmente para selecionar o dado, verticalmente para a quantidade de dados e clique para rolar
